Артикул;Наименование
261;Автоматический выключатель М611 1.0-1.6А
28;Автоматический выключатель М611 1.6-2.5А
30;Автоматический выключатель М611 2.5-4.0А
32;Автоматический выключатель М611 4.0-6.3А
89118;Секция камина VBV-560 (2м_AGVF370-6D_поворотный клапан_низ)
89119;Секция камина VBV-560 (2м_AGVF370-6E_поворотный клапан_низ)
89120;Секция камина VBV-560 (2м_AGVF370-6D_поворотный клапан_верх)
89121;Секция камина VBV-560 (2м_AGVF370-6Е_поворотный клапан_верх)
89122;Секция камина VBV-560 (2м_AGVF370-6D_гравитац. клапан_внутр.)
89123;Секция камина VBV-560 (2м_AGVF370-6Е_гравитац. клапан_внутр.)
89124;Секция камина VBV-560 (2м_AGVF370-6D_гравитац. клапан_внеш.)
89125;Секция камина VBV-560 (2м_AGVF370-6Е_гравитац. клапан_внеш.)
89126;Секция камина VBV-710 (2м_AGVF370-6D_поворотный клапан_низ)
89127;Секция камина VBV-710 (2м_AGVF370-6E_поворотный клапан_низ)
89128;Секция камина VBV-710 (2м_AGVF370-6D_поворотный клапан_верх)
89129;Секция камина VBV-710 (2м_AGVF370-6Е_поворотный клапан_верх)
89130;Секция камина VBV-710 (2м_AGVF370-6D_гравитац. клапан_внутр.)
89131;Секция камина VBV-710 (2м_AGVF370-6Е_гравитац. клапан_внутр.)
89132;Секция камина VBV-710 (2м_AGVF370-6D_гравитац. клапан_внеш.)
89133;Секция камина VBV-710 (2м_AGVF370-6Е_гравитац. клапан_внеш.)
89134;Секция камина VBV-800 (2м_AGVF750-6D_поворотный клапан_низ)
89135;Секция камина VBV-800 (2м_AGVF750-6E_поворотный клапан_низ)
89136;Секция камина VBV-800 (2м_AGVF750-6D_поворотный клапан_верх)
89137;Секция камина VBV-800 (2м_AGVF750-6Е_поворотный клапан_верх)
89138;Секция камина VBV-800 (2м_AGVF750-6D_гравитац. клапан_внутр.)
89139;Секция камина VBV-800 (2м_AGVF750-6Е_гравитац. клапан_внутр.)
89140;Секция камина VBV-800 (2м_AGVF750-6D_гравитац. клапан_внеш.)
89141;Секция камина VBV-800 (2м_AGVF750-6Е_гравитац. клапан_внеш.)
89106;Секция камина VBA-560 (2м_AGVF370-6D_поворотный клапан_низ)
89107;Секция камина VBA-560 (2м_AGVF370-6Е_поворотный клапан_низ)
89108;Секция камина VBA-560 (2м_AGVF370-6D_поворотный клапан_верх)
89109;Секция камина VBA-560 (2м_AGVF370-6Е_поворотный клапан_верх)
89110;Секция камина VBA-710 (2м_AGVF370-6D_поворотный клапан_низ)
89111;Секция камина VBA-710 (2м_AGVF370-6Е_поворотный клапан_низ)
89112;Секция камина VBA-710 (2м_AGVF370-6D_поворотный клапан_верх)
89113;Секция камина VBA-710 (2м_AGVF370-6Е_поворотный клапан_верх)
89114;Секция камина VBA-800 (2м_AGVF750-6D_поворотный клапан_низ)
89115;Секция камина VBA-800 (2м_AGVF750-6Е_поворотный клапан_низ)
89116;Секция камина VBA-800 (2м_AGVF750-6D_поворотный клапан_верх)
89117;Секция камина VBA-800 (2м_AGVF750-6Е_поворотный клапан_верх)
89142;Секция камина VBР-560 (2м_поворотный клапан_низ)
89143;Секция камина VBР-710 (2м_поворотный клапан_низ)
89153;Секция камина VBР-800 (2м_поворотный клапан_низ)
89145;Секция камина VBR-560 (2м_поворотный клапан_низ)
89148;Секция подмешивания VBR-560 (AGVF370-6D)
89146;Секция камина VBR-710 (2м_поворотный клапан_низ)
89149;Секция подмешивания VBR-710 (AGVF370-6D)
89147;Секция камина VBR-800 (2м_поворотный клапан_низ)
89150;Секция подмешивания VBR-800 (AGVF750-6D)
12046;Секция VB-560 (1м)
7328;Секция VB-710 (1м)
3144;Секция VB-800 (1м)
89151;Монтажный комплект VB (поворотный клапан)
89152;Монтажный комплект VB (гравитационный клапан)
21514;Мембрана шахтная прорезиненная (1,5х1,5 метра) VB-560
21512;Мембрана шахтная прорезиненная (1,5х1,5 метра) VB-710
21513;Мембрана шахтная прорезиненная (1,5х1,5 метра) VB-800
3578;Лента битумная (кровельная-10м) ширина 10см
10879;Каплеулавливатель 1100
3560;"Распределитель воздуха ""Корона"" (D1200мм,3 мм)"
55852;Раструб VBV-560
29542;Раструб VBV-710
51935;Раструб VBV-800
3615;Зонт вентиляционной шахты (D1350мм, пл.3мм) без кронштейнов, сетки
89174;Комлект зонта вентиляционной шахты
23374;Защитная сетка VBV 710
30645;Защитная сетка VBV 800
4000;Двустворчатый клапан
7547;Электропривод DA08N220 (220В, 2/3 поз, б/пруж)L01
29299;Электропривод DA08N220P (220В, 0-10В, б/пруж)
3557;Электропривод DA08N24PI (24В, 0-10В, б/пруж)L01
21370;Электропривод DA16N220 (220В,2/3 поз, без пруж)
1191;Электропривод DA16N24PI (24В, 0-10В, б/пруж)
84015;Электропривод (BVM) NM230-8
84935;Электропривод (BVM) NM24-SR-8
84016;Электропривод (BVM) NM230-10
84934;Электропривод (BVM) NM24-SR-10
;
